127.0.0.1 - - [11/May/2022:09:18:28 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/May/2022:09:18:44 +0700] "GET /doanhnghiep HTTP/1.1" 200 32381
0:0:0:0:0:0:0:1 - - [11/May/2022:09:18:44 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [11/May/2022:09:21:39 +0700] "GET /trangchu HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [11/May/2022:09:22:39 +0700] "GET / HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [11/May/2022:09:23:32 +0700] "GET /tuyendung HTTP/1.1" 200 26734
0:0:0:0:0:0:0:1 - - [11/May/2022:09:23:34 +0700] "GET /tuyendung/chitiet?id=8 HTTP/1.1" 200 14391
0:0:0:0:0:0:0:1 - - [11/May/2022:09:27:18 +0700] "GET /trangchu HTTP/1.1" 200 5205
0:0:0:0:0:0:0:1 - - [11/May/2022:09:35:11 +0700] "GET /trangchu HTTP/1.1" 200 5250
0:0:0:0:0:0:0:1 - - [11/May/2022:09:35:12 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 200 753458
0:0:0:0:0:0:0:1 - - [11/May/2022:09:35:12 +0700] "GET /ckfinder/ckfinder.js HTTP/1.1" 200 533011
0:0:0:0:0:0:0:1 - - [11/May/2022:09:35:12 +0700] "GET /js/main.js HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [11/May/2022:09:35:12 +0700] "GET /css/style.css HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [11/May/2022:09:35:12 +0700] "GET /css/navbar.css HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [11/May/2022:09:35:12 +0700] "GET /image/brand.png HTTP/1.1" 200 7361
0:0:0:0:0:0:0:1 - - [11/May/2022:09:35:14 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [11/May/2022:09:36:37 +0700] "GET /trangchu HTTP/1.1" 200 5380
0:0:0:0:0:0:0:1 - - [11/May/2022:09:36:38 +0700] "GET /css/style.css HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [11/May/2022:09:36:38 +0700] "GET /css/navbar.css HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [11/May/2022:09:36:38 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 200 753458
0:0:0:0:0:0:0:1 - - [11/May/2022:09:36:38 +0700] "GET /ckfinder/ckfinder.js HTTP/1.1" 200 533011
0:0:0:0:0:0:0:1 - - [11/May/2022:09:36:38 +0700] "GET /js/main.js HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [11/May/2022:09:36:38 +0700] "GET /image/brand.png HTTP/1.1" 200 7361
0:0:0:0:0:0:0:1 - - [11/May/2022:09:36:39 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [11/May/2022:09:37:06 +0700] "GET /trangchu HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [11/May/2022:09:37:07 +0700] "GET /css/style.css HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [11/May/2022:09:37:07 +0700] "GET /css/navbar.css HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [11/May/2022:09:37:07 +0700] "GET /js/main.js HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [11/May/2022:09:37:07 +0700] "GET /ckfinder/ckfinder.js HTTP/1.1" 200 533011
0:0:0:0:0:0:0:1 - - [11/May/2022:09:37:07 +0700] "GET /ckeditor/ckeditor.js HTTP/1.1" 200 753458
0:0:0:0:0:0:0:1 - - [11/May/2022:09:37:07 +0700] "GET /image/brand.png HTTP/1.1" 200 7361
0:0:0:0:0:0:0:1 - - [11/May/2022:09:37:08 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [11/May/2022:09:38:18 +0700] "GET /trangchu HTTP/1.1" 200 5389
